Joueur1_Nom;Joueur1_Prenom;Joueur1_Nationalite;Joueur2_Nom;Joueur2_Prenom;Joueur2_Nationalite;Seed;Round;Score;Resultat;Date_Tournoi;Nom_Tournoi;Lieu_Tournoi;Prize_Money;Points
DI NENNO;Martin;ARG;ROMAN AUGSBURGUER;Leandro;ARG;7;Final;46 63 64;Victoire;2025-09-07;MADRID P1;Madrid;474500;1000
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Final;46 63 64;Defaite;2025-09-07;MADRID P1;Madrid;474500;600
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Semifinals;62 75;Victoire;2025-09-06;MADRID P1;Madrid;474500;360
YANGUAS;Miguel;ESP;NIETO RUIZ;Jorge;ESP;4;Semifinals;62 75;Defaite;2025-09-06;MADRID P1;Madrid;474500;180
DI NENNO;Martin;ARG;ROMAN AUGSBURGUER;Leandro;ARG;7;Semifinals;36 63 76(3);Victoire;2025-09-06;MADRID P1;Madrid;474500;360
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Semifinals;36 63 76(3);Defaite;2025-09-06;MADRID P1;Madrid;474500;180
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Quarterfinals;76(2) 67(6) 63;Victoire;2025-09-05;MADRID P1;Madrid;474500;180
GUERRERO;Francisco;ESP;LEAL;Javier;ESP;10;Quarterfinals;76(2) 67(6) 63;Defaite;2025-09-05;MADRID P1;Madrid;474500;90
YANGUAS;Miguel;ESP;NIETO RUIZ;Jorge;ESP;4;Quarterfinals;62 63;Victoire;2025-09-05;MADRID P1;Madrid;474500;180
LIJO;Pablo;ESP;ARCE SIMO;Maximiliano;ARG;;Quarterfinals;62 63;Defaite;2025-09-05;MADRID P1;Madrid;474500;90
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Quarterfinals;61 62;Victoire;2025-09-05;MADRID P1;Madrid;474500;180
GONZALEZ;Jeronimo;ESP;SANZ;Jon;ESP;6;Quarterfinals;61 62;Defaite;2025-09-05;MADRID P1;Madrid;474500;90
DI NENNO;Martin;ARG;ROMAN AUGSBURGUER;Leandro;ARG;7;Quarterfinals;63 64;Victoire;2025-09-05;MADRID P1;Madrid;474500;180
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Quarterfinals;63 64;Defaite;2025-09-05;MADRID P1;Madrid;474500;90
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Round of 16;76(5) 64;Victoire;2025-09-04;MADRID P1;Madrid;474500;90
RUIZ GRANADOS;Alejandro;ESP;RUIZ;Victor;ESP;16;Round of 16;76(5) 64;Defaite;2025-09-04;MADRID P1;Madrid;474500;45
LIJO;Pablo;ESP;ARCE SIMO;Maximiliano;ARG;;Round of 16;64 64;Victoire;2025-09-04;MADRID P1;Madrid;474500;90
BERGAMINI;Lucas;BRA;NAVARRO;Francisco;ESP;5;Round of 16;64 64;Defaite;2025-09-04;MADRID P1;Madrid;474500;45
GUERRERO;Francisco;ESP;LEAL;Javier;ESP;10;Round of 16;46 76(6) 64;Victoire;2025-09-04;MADRID P1;Madrid;474500;90
TELLO;Juan;ARG;CARDONA;Pablo;ESP;8;Round of 16;46 76(6) 64;Defaite;2025-09-04;MADRID P1;Madrid;474500;45
