calendar_year,calendar_month,event_name,event_type,event_scope,circuit,city,country,start_date,end_date
2023,January,FIP CHAMPIONSHIP,Other,FIP_CHAMPIONSHIPS,FIP,,,2023-01-02,2023-01-08
2023,January,FIP PROMISES,Promises,FIP_PROMISES,FIP,,,2023-01-02,2023-01-08
2023,January,FIP TOUR FIP RISE AUSTRALIA OPEN,Rise,FIP_TOUR,FIP,,,2023-01-02,2023-01-08
2023,January,PREMIER PADEL MAJOR,Major,PREMIER_PADEL_MAJOR,FIP,,,2023-01-02,2023-01-08
2023,January,PREMIER PADEL P1,P1,PREMIER_PADEL_P1,FIP,,,2023-01-02,2023-01-08
2023,February,FIP CHAMPIONSHIP,Other,FIP_CHAMPIONSHIPS,FIP,,,2023-01-30,2023-02-05
2023,February,FIP PROMISES,Promises,FIP_PROMISES,FIP,,,2023-01-30,2023-02-05
2023,February,FIP TOUR FIP PLATINUM TBC FIP RISE CIUDAD DE JAEN FIP RISE VIÑA DEL MAR 23,Rise,FIP_TOUR,FIP,Jaen,Spain,2023-01-30,2023-02-05
2023,February,FIP TOUR FIP PROMOTION KAUNAS,Other,FIP_TOUR,FIP,Kaunas,Lithuania,2023-01-30,2023-02-05
2023,February,PREMIER PADEL MAJOR OREEDOO,Major,PREMIER_PADEL_MAJOR,FIP,,,2023-01-30,2023-02-05
2023,February,PREMIER PADEL P1,P1,PREMIER_PADEL_P1,FIP,,,2023-01-30,2023-02-05
2023,March,FIP CHAMPIONSHIP FIP awards DUBAI,Other,FIP_CHAMPIONSHIPS,FIP,,,2023-02-27,2023-03-05
2023,March,FIP PROMISES PROMISES,Promises,FIP_PROMISES,FIP,,,2023-02-27,2023-03-05
2023,March,FIP TOUR,Other,FIP_TOUR,FIP,,,2023-02-27,2023-03-05
2023,March,FIP TOUR FIP RISE ISLA DE LA PALMA FIP PROMOTION QTF FIP GOLD DUBAI,Rise,FIP_TOUR,FIP,,,2023-02-27,2023-03-05
2023,March,PREMIER PADEL MAJOR QATAR MAJOR,Major,PREMIER_PADEL_MAJOR,FIP,,Qatar,2023-02-27,2023-03-05
2023,April,FIP CHAMPIONSHIP,Other,FIP_CHAMPIONSHIPS,FIP,,,2023-03-27,2023-04-02
2023,April,FIP PROMISES EINDHOVEN,Promises,FIP_PROMISES,FIP,,,2023-03-27,2023-04-02
2023,April,FIP TOUR DUBAI FIP RISE ROCKS LANE CHISWICK FIP RISE gävle FIP RISE BORDEAUX FIP RISE BURRIANA,Rise,FIP_TOUR,FIP,Bordeaux,France,2023-03-27,2023-04-02
2023,April,FIP TOUR FIP RISE GOTHEMBURG FIP RISE SANTIAGO DE CHILE,Rise,FIP_TOUR,FIP,,Chile,2023-03-27,2023-04-02
2023,April,FIP TOUR FIP RISE GÄVLE,Rise,FIP_TOUR,FIP,,,2023-03-27,2023-04-02
2023,April,PREMIER PADEL MAJOR,Major,PREMIER_PADEL_MAJOR,FIP,,,2023-03-27,2023-04-02
2023,April,PREMIER PADEL P1,P1,PREMIER_PADEL_P1,FIP,,,2023-03-27,2023-04-02
2023,May,FIP CHAMPIONSHIP,Other,FIP_CHAMPIONSHIPS,FIP,,,2023-05-01,2023-05-07
2023,May,FIP PROMISES FIP PROMISES PORTO ALEGRE PROMISES ZEIST,Promises,FIP_PROMISES,FIP,,,2023-05-01,2023-05-07
2023,May,FIP TOUR FIP PROMOTION GIULIANOVA FIP STAR RIYAHD FIP STAR NEW CAIRO FIP PROMOTION TORREMOLINOS FIP STAR,Star,FIP_TOUR,FIP,New Cairo,Egypt,2023-05-01,2023-05-07
2023,May,FIP TOUR FIP RISE GRAVATAI FIP PROMOTION ALBANIA OPEN FIP RISE,Rise,FIP_TOUR,FIP,,,2023-05-01,2023-05-07
2023,May,PREMIER PADEL MAJOR,Major,PREMIER_PADEL_MAJOR,FIP,,,2023-05-01,2023-05-07
2023,May,PREMIER PADEL P1,P1,PREMIER_PADEL_P1,FIP,,,2023-05-01,2023-05-07
2023,June,FIP CHAMPIONSHIP Veterans Europan Champs EU GAMES KRAKOW,Other,FIP_CHAMPIONSHIPS,FIP,,,2023-05-29,2023-06-04
2023,June,FIP PROMISES FIP PROMISES BADAJOZ FIP PROMISES TURIN FIP PROMISES VALLADOLID,Promises,FIP_PROMISES,FIP,,,2023-05-29,2023-06-04
2023,June,FIP TOUR FIP PROMOTION CITTA' DEI TEMPLI,Other,FIP_TOUR,FIP,,,2023-05-29,2023-06-04
2023,June,FIP TOUR FIP RISE GOTHENBURG,Rise,FIP_TOUR,FIP,,,2023-05-29,2023-06-04
2023,June,FIP TOUR FIP RISE Gothenburg II FIP RISE PORTO ST. ELPIDO FIP RISE GETXO 2023,Rise,FIP_TOUR,FIP,,,2023-05-29,2023-06-04
2023,June,FIP TOUR FIP STAR TRANI FIP RISE GOUNA FIP RISE CORDENONS FIP RISE ECUADOR FIP PLATINUM LISBOA,Rise,FIP_TOUR,FIP,,,2023-05-29,2023-06-04
2023,June,PREMIER PADEL MAJOR,Major,PREMIER_PADEL_MAJOR,FIP,,,2023-05-29,2023-06-04
