calendar_year,event_name,event_category,city,country,start_date,end_date
2024,RIYADH SEASON P1,P1,Riyadh,Saudi Arabia,2024-02-26,2024-03-02
2024,QATAR MAJOR,MAJOR,Doha,Qatar,2024-03-03,2024-03-08
2024,ACAPULCO P1,P1,Acapulco,Mexico,2024-03-19,2024-03-24
2024,PUERTO CABELLO P2,P2,Puerto Cabello,Venezuela,2024-03-26,2024-03-31
2024,BRUSSELS P2,P2,Brussels,Belgium,2024-04-23,2024-04-28
2024,SEVILLA P2,P2,Seville,Spain,2024-04-30,2024-05-05
2024,ASUNCION P2,P2,Asuncion,Paraguay,2024-05-14,2024-05-19
2024,MAR DEL PLATA P1,P1,Mar del Plata,Argentina,2024-05-20,2024-05-26
2024,SANTIAGO P1,P1,Santiago,Chile,2024-05-28,2024-06-03
2024,BORDEAUX P2,P2,Bordeaux,France,2024-06-11,2024-06-16
2024,ITALY MAJOR,MAJOR,Rome,Italy,2024-06-17,2024-06-23
2024,GENOVA P2,P2,Genoa,Italy,2024-07-02,2024-07-07
2024,MALAGA P1,P1,Malaga,Spain,2024-07-08,2024-07-14
2024,FINLAND P2,P2,Helsinki,Finland,2024-07-29,2024-08-04
2024,MADRID P1,P1,Madrid,Spain,2024-09-02,2024-09-08
2024,ROTTERDAM P1,P1,Rotterdam,Netherlands,2024-09-10,2024-09-15
2024,VALLADOLID P2,P2,Valladolid,Spain,2024-09-17,2024-09-22
2024,PARIS MAJOR,MAJOR,Paris,France,2024-09-30,2024-10-06
2024,NEWGIZA P2,P2,New Giza,Egypt,2024-10-21,2024-10-26
2024,DUBAI P1,P1,Dubai,United Arab Emirates,2024-11-04,2024-11-10
2024,KUWAIT CITY P1,P1,Kuwait City,Kuwait,2024-11-11,2024-11-17
2024,MEXICO MAJOR,MAJOR,Mexico City,Mexico,2024-11-25,2024-12-01
2024,MILANO P1,P1,Milan,Italy,2024-12-02,2024-12-08
2024,TOUR FINALS BARCELONA,TOUR FINALS,Barcelona,Spain,2024-12-19,2024-12-22
