Joueur1_Nom;Joueur1_Prenom;Joueur1_Nationalite;Joueur2_Nom;Joueur2_Prenom;Joueur2_Nationalite;Seed;Round;Score;Resultat;Date_Tournoi;Nom_Tournoi;Lieu_Tournoi;Prize_Money;Points
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Final;63 57 63;Victoire;2025-02-15;RIYADH SEASON P1;Riyadh;474500;1000
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Final;63 57 63;Defaite;2025-02-15;RIYADH SEASON P1;Riyadh;474500;600
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Semifinals;63 62;Victoire;2025-02-14;RIYADH SEASON P1;Riyadh;474500;360
YANGUAS;Miguel;ESP;NIETO;Jorge;ESP;4;Semifinals;63 62;Defaite;2025-02-14;RIYADH SEASON P1;Riyadh;474500;180
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Semifinals;46 63 75;Victoire;2025-02-14;RIYADH SEASON P1;Riyadh;474500;360
CARDONA;Pablo;ESP;AUGSBURGER;Leandro;ARG;9;Semifinals;46 63 75;Defaite;2025-02-14;RIYADH SEASON P1;Riyadh;474500;180
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Quarterfinals;76(0) 62;Victoire;2025-02-13;RIYADH SEASON P1;Riyadh;474500;180
LIBAAK;Valentino Gabriel;ARG;TELLO;Juan;ARG;15;Quarterfinals;76(0) 62;Defaite;2025-02-13;RIYADH SEASON P1;Riyadh;474500;90
YANGUAS;Miguel;ESP;NIETO;Jorge;ESP;4;Quarterfinals;63 46 63;Victoire;2025-02-13;RIYADH SEASON P1;Riyadh;474500;180
CHOZAS;Alex;ARG;RUIZ;Alejandro;ESP;10;Quarterfinals;63 46 63;Defaite;2025-02-13;RIYADH SEASON P1;Riyadh;474500;90
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Quarterfinals;62 75;Victoire;2025-02-13;RIYADH SEASON P1;Riyadh;474500;180
DI NENNO;Martin;ARG;GARRIDO;Javier;ESP;5;Quarterfinals;62 75;Defaite;2025-02-13;RIYADH SEASON P1;Riyadh;474500;90
CARDONA;Pablo;ESP;AUGSBURGER;Leandro;ARG;9;Quarterfinals;63 46 63;Victoire;2025-02-13;RIYADH SEASON P1;Riyadh;474500;180
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Quarterfinals;63 46 63;Defaite;2025-02-13;RIYADH SEASON P1;Riyadh;474500;90
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Round of 16;62 63;Victoire;2025-02-12;RIYADH SEASON P1;Riyadh;474500;90
ALONSO;Eduardo;ESP;ARROYO;Alejandro;ESP;8;Round of 16;62 63;Defaite;2025-02-12;RIYADH SEASON P1;Riyadh;474500;45
CHOZAS;Alex;ARG;RUIZ;Alejandro;ESP;10;Round of 16;63 36 64;Victoire;2025-02-12;RIYADH SEASON P1;Riyadh;474500;90
CAPRA;Luciano;ARG;ESBRI;Juanlu;ESP;14;Round of 16;63 36 64;Defaite;2025-02-12;RIYADH SEASON P1;Riyadh;474500;45
LIBAAK;Valentino Gabriel;ARG;TELLO;Juan;ARG;15;Round of 16;26 76(3) 76(3);Victoire;2025-02-12;RIYADH SEASON P1;Riyadh;474500;90
GUERRERO;Francisco;ESP;BAUTISTA;Jairo;ESP;12;Round of 16;26 76(3) 76(3);Defaite;2025-02-12;RIYADH SEASON P1;Riyadh;474500;45
YANGUAS;Miguel;ESP;NIETO;Jorge;ESP;4;Round of 16;76(7) 64;Victoire;2025-02-12;RIYADH SEASON P1;Riyadh;474500;90
NAVARRO;Francisco;ESP;BERGAMINI;Lucas;BRA;7;Round of 16;76(7) 64;Defaite;2025-02-12;RIYADH SEASON P1;Riyadh;474500;45
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Round of 16;64 63;Victoire;2025-02-12;RIYADH SEASON P1;Riyadh;474500;90
LEAL;Javier;ESP;GUTIERREZ;Carlos Daniel;ARG;11;Round of 16;64 63;Defaite;2025-02-12;RIYADH SEASON P1;Riyadh;474500;45
DI NENNO;Martin;ARG;GARRIDO;Javier;ESP;5;Round of 16;64 62;Victoire;2025-02-12;RIYADH SEASON P1;Riyadh;474500;90
GONZALEZ;Jeronimo;ESP;SANZ;Jon;ESP;6;Round of 16;64 62;Defaite;2025-02-12;RIYADH SEASON P1;Riyadh;474500;45
CARDONA;Pablo;ESP;AUGSBURGER;Leandro;ARG;9;Round of 16;76(3) 63;Victoire;2025-02-12;RIYADH SEASON P1;Riyadh;474500;90
DEUS;Miguel;POR;DEUS;Nuno;POR;;Round of 16;76(3) 63;Defaite;2025-02-12;RIYADH SEASON P1;Riyadh;474500;45
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Round of 16;64 62;Victoire;2025-02-12;RIYADH SEASON P1;Riyadh;474500;90
GARCIA;Javier;ESP;BARAHONA;Javier;ESP;16;Round of 16;64 62;Defaite;2025-02-12;RIYADH SEASON P1;Riyadh;474500;45
