Joueur1_Nom;Joueur1_Prenom;Joueur1_Nationalite;Joueur2_Nom;Joueur2_Prenom;Joueur2_Nationalite;Seed;Round;Score;Resultat;Date_Tournoi;Nom_Tournoi;Lieu_Tournoi;Prize_Money;Points
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Final;46 76(2) 62;Victoire;2025-06-15;BNL ITALY MAJOR;Rome;1029558;2000
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Final;46 76(2) 62;Defaite;2025-06-15;BNL ITALY MAJOR;Rome;1029558;1200
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Semifinals;63 75;Victoire;2025-06-14;BNL ITALY MAJOR;Rome;1029558;720
GUERRERO;Francisco;ESP;LEAL;Javier;ESP;13;Semifinals;63 75;Defaite;2025-06-14;BNL ITALY MAJOR;Rome;1029558;360
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Semifinals;67(7) 62 62;Victoire;2025-06-14;BNL ITALY MAJOR;Rome;1029558;720
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Semifinals;67(7) 62 62;Defaite;2025-06-14;BNL ITALY MAJOR;Rome;1029558;360
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Quarterfinals;76(2) 63;Victoire;2025-06-13;BNL ITALY MAJOR;Rome;1029558;360
HUETE HERNANDEZ;Mario;ESP;PERINO;Denis Tomas;ITA;;Quarterfinals;76(2) 63;Defaite;2025-06-13;BNL ITALY MAJOR;Rome;1029558;180
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Quarterfinals;63 67(4) 76(2);Victoire;2025-06-13;BNL ITALY MAJOR;Rome;1029558;360
JOFRE;Inigo;UAE;ARROYO;Alejandro;ESP;12;Quarterfinals;63 67(4) 76(2);Defaite;2025-06-13;BNL ITALY MAJOR;Rome;1029558;180
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Quarterfinals;64 62;Victoire;2025-06-13;BNL ITALY MAJOR;Rome;1029558;360
