Joueur1_Nom;Joueur1_Prenom;Joueur1_Nationalite;Joueur2_Nom;Joueur2_Prenom;Joueur2_Nationalite;Seed;Round;Score;Resultat;Date_Tournoi;Nom_Tournoi;Lieu_Tournoi;Prize_Money;Points
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Final;64 60;Victoire;2025-07-20;MALAGA P1;Malaga;474500;1000
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Final;64 60;Defaite;2025-07-20;MALAGA P1;Malaga;474500;600
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Semifinals;64 63;Victoire;2025-07-19;MALAGA P1;Malaga;474500;360
BERGAMINI;Lucas;BRA;NAVARRO;Francisco;ESP;5;Semifinals;64 63;Defaite;2025-07-19;MALAGA P1;Malaga;474500;180
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Semifinals;16 64 76(3);Victoire;2025-07-19;MALAGA P1;Malaga;474500;360
YANGUAS;Miguel;ESP;NIETO RUIZ;Jorge;ESP;3;Semifinals;16 64 76(3);Defaite;2025-07-19;MALAGA P1;Malaga;474500;180
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Quarterfinals;60 62;Victoire;2025-07-18;MALAGA P1;Malaga;474500;180
TELLO;Juan;ARG;DI NENNO;Martin;ARG;6;Quarterfinals;60 62;Defaite;2025-07-18;MALAGA P1;Malaga;474500;90
BERGAMINI;Lucas;BRA;NAVARRO;Francisco;ESP;5;Quarterfinals;60 62;Victoire;2025-07-18;MALAGA P1;Malaga;474500;180
AGUIRRE;Leonel Daniel;ARG;CHOZAS;Alex;ARG;15;Quarterfinals;60 62;Defaite;2025-07-18;MALAGA P1;Malaga;474500;90
YANGUAS;Miguel;ESP;NIETO RUIZ;Jorge;ESP;3;Quarterfinals;62 64;Victoire;2025-07-18;MALAGA P1;Malaga;474500;180
CARDONA;Pablo;ESP;AUGSBURGER;Leandro;ARG;8;Quarterfinals;62 64;Defaite;2025-07-18;MALAGA P1;Malaga;474500;90
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Quarterfinals;WO;Victoire;2025-07-18;MALAGA P1;Malaga;474500;180
STUPACZUK;Franco;ARG;ARCE SIMO;Maximiliano;ARG;7;Quarterfinals;WO;Defaite;2025-07-18;MALAGA P1;Malaga;474500;90
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Round of 16;62 64;Victoire;2025-07-17;MALAGA P1;Malaga;474500;90
GARCIA RODRIGO;Pablo;ESP;FERNANDEZ;Antonio;ESP;;Round of 16;62 64;Defaite;2025-07-17;MALAGA P1;Malaga;474500;45
TELLO;Juan;ARG;DI NENNO;Martin;ARG;6;Round of 16;62 76(4);Victoire;2025-07-17;MALAGA P1;Malaga;474500;90
RUIZ GRANADOS;Alejandro;ESP;RUIZ;Victor;ESP;14;Round of 16;62 76(4);Defaite;2025-07-17;MALAGA P1;Malaga;474500;45
BERGAMINI;Lucas;BRA;NAVARRO;Francisco;ESP;5;Round of 16;62 62;Victoire;2025-07-17;MALAGA P1;Malaga;474500;90
