Joueur1_Nom;Joueur1_Prenom;Joueur1_Nationalite;Joueur2_Nom;Joueur2_Prenom;Joueur2_Nationalite;Seed;Round;Score;Resultat;Date_Tournoi;Nom_Tournoi;Lieu_Tournoi;Prize_Money;Points
GALAN;Alejandro;ESP;CHINGOTTO;Federico;ARG;2;Final;76(5) 61;Victoire;2025-05-25;ASUNCION P2;Asuncion;262250;600
CARDONA;Pablo;ESP;AUGSBURGER;Leandro;ARG;;Final;76(5) 61;Defaite;2025-05-25;ASUNCION P2;Asuncion;262250;360
GALAN;Alejandro;ESP;CHINGOTTO;Federico;ARG;2;Semifinals;62 63;Victoire;2025-05-24;ASUNCION P2;Asuncion;262250;180
TELLO;Juan;ARG;DI NENNO;Martin;ARG;6;Semifinals;62 63;Defaite;2025-05-24;ASUNCION P2;Asuncion;262250;90
CARDONA;Pablo;ESP;AUGSBURGER;Leandro;ARG;;Semifinals;64 64;Victoire;2025-05-24;ASUNCION P2;Asuncion;262250;180
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Semifinals;64 64;Defaite;2025-05-24;ASUNCION P2;Asuncion;262250;90
GALAN;Alejandro;ESP;CHINGOTTO;Federico;ARG;2;Quarterfinals;60 62;Victoire;2025-05-23;ASUNCION P2;Asuncion;262250;90
CHOZAS;Alex;ARG;GUTIERREZ;Carlos Daniel;ARG;;Quarterfinals;60 62;Defaite;2025-05-23;ASUNCION P2;Asuncion;262250;45
TELLO;Juan;ARG;DI NENNO;Martin;ARG;6;Quarterfinals;61 11 RET;Victoire;2025-05-23;ASUNCION P2;Asuncion;262250;90
RUIZ;Victor;ESP;GIL;Francisco Manuel;ESP;;Quarterfinals;61 11 RET;Defaite;2025-05-23;ASUNCION P2;Asuncion;262250;45
CARDONA;Pablo;ESP;AUGSBURGER;Leandro;ARG;;Quarterfinals;63 57 62;Victoire;2025-05-23;ASUNCION P2;Asuncion;262250;90
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Quarterfinals;63 57 62;Defaite;2025-05-23;ASUNCION P2;Asuncion;262250;45
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Quarterfinals;63 26 76(1);Victoire;2025-05-23;ASUNCION P2;Asuncion;262250;90
DIESTRO;Jose Antonio;ESP;ESBRI;Juanlu;ESP;;Quarterfinals;63 26 76(1);Defaite;2025-05-23;ASUNCION P2;Asuncion;262250;45
GALAN;Alejandro;ESP;CHINGOTTO;Federico;ARG;2;Round of 16;62 64;Victoire;2025-05-22;ASUNCION P2;Asuncion;262250;45
LEAL;Javier;ESP;GUERRERO;Francisco;ESP;;Round of 16;62 64;Defaite;2025-05-22;ASUNCION P2;Asuncion;262250;22
CHOZAS;Alex;ARG;GUTIERREZ;Carlos Daniel;ARG;;Round of 16;16 63 61;Victoire;2025-05-22;ASUNCION P2;Asuncion;262250;45
ALONSO;Eduardo;ESP;BAUTISTA;Jairo;ESP;8;Round of 16;16 63 61;Defaite;2025-05-22;ASUNCION P2;Asuncion;262250;22
TELLO;Juan;ARG;DI NENNO;Martin;ARG;6;Round of 16;64 63;Victoire;2025-05-22;ASUNCION P2;Asuncion;262250;45
JOFRE;Inigo;UAE;ARROYO;Alejandro;ESP;;Round of 16;64 63;Defaite;2025-05-22;ASUNCION P2;Asuncion;262250;22
RUIZ;Victor;ESP;GIL;Francisco Manuel;ESP;;Round of 16;36 63 64;Victoire;2025-05-22;ASUNCION P2;Asuncion;262250;45
YANGUAS;Miguel;ESP;NIETO;Jorge;ESP;4;Round of 16;36 63 64;Defaite;2025-05-22;ASUNCION P2;Asuncion;262250;22
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Round of 16;60 63;Victoire;2025-05-22;ASUNCION P2;Asuncion;262250;45
MOURIÑO;Federico;ARG;FERNANDEZ;Antonio;ESP;;Round of 16;60 63;Defaite;2025-05-22;ASUNCION P2;Asuncion;262250;22
CARDONA;Pablo;ESP;AUGSBURGER;Leandro;ARG;;Round of 16;76(9) 64;Victoire;2025-05-22;ASUNCION P2;Asuncion;262250;45
GONZALEZ;Jeronimo;ESP;SANZ;Jon;ESP;5;Round of 16;76(9) 64;Defaite;2025-05-22;ASUNCION P2;Asuncion;262250;22
DIESTRO;Jose Antonio;ESP;ESBRI;Juanlu;ESP;;Round of 16;64 76(3);Victoire;2025-05-22;ASUNCION P2;Asuncion;262250;45
BERGAMINI;Lucas;BRA;NAVARRO;Francisco;ESP;7;Round of 16;64 76(3);Defaite;2025-05-22;ASUNCION P2;Asuncion;262250;22
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Round of 16;62 61;Victoire;2025-05-22;ASUNCION P2;Asuncion;262250;45
GOENAGA;Enrique;ESP;HERNANDEZ QUESADA;Luis;ESP;;Round of 16;62 61;Defaite;2025-05-22;ASUNCION P2;Asuncion;262250;22
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Round of 32;63 62;Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
DEUS;Miguel;POR;DEUS;Nuno;POR;;Round of 32;63 62;Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
GOENAGA;Enrique;ESP;HERNANDEZ QUESADA;Luis;ESP;;Round of 32;36 75 76(6);Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
FERNANDEZ LANCHA;Andres;ESP;JENSEN SIRVENT;Enzo;ITA;;Round of 32;36 75 76(6);Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
DIESTRO;Jose Antonio;ESP;ESBRI;Juanlu;ESP;;Round of 32;36 75 63;Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
LIBAAK;Valentino Gabriel;ARG;GARRIDO;Javier;ESP;;Round of 32;36 75 63;Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
BERGAMINI;Lucas;BRA;NAVARRO;Francisco;ESP;7;Round of 32;76(4) 63;Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
PATINIOTIS;Aris;ITA;GALA SANCHEZ;David;ESP;;Round of 32;76(4) 63;Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
GONZALEZ;Jeronimo;ESP;SANZ;Jon;ESP;5;Round of 32;46 62 63;Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
AGUIRRE;Leonel Daniel;ARG;ALFONSO;Gonzalo Gabriel;ARG;;Round of 32;46 62 63;Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
CARDONA;Pablo;ESP;AUGSBURGER;Leandro;ARG;;Round of 32;63 67(4) 64;Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
VALDES;Javier;CHI;COLLADO LOSADA;Guillermo;ESP;;Round of 32;63 67(4) 64;Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
MOURIÑO;Federico;ARG;FERNANDEZ;Antonio;ESP;;Round of 32;60 62;Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
ARAGON HERRERA;Manuel;ESP;DEHNIKE;Facundo;PAR;;Round of 32;60 62;Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Round of 32;60 62;Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
MUNOZ;Jaime;ESP;GUTIERREZ;Agustin;ARG;;Round of 32;60 62;Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
YANGUAS;Miguel;ESP;NIETO;Jorge;ESP;4;Round of 32;62 63;Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
CAMPAGNOLO;Lucas;BRA;SAGER;Ignacio;ESP;;Round of 32;62 63;Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
RUIZ;Victor;ESP;GIL;Francisco Manuel;ESP;;Round of 32;62 64;Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
ORTEGA;Mario;ESP;RAMIREZ;Ivan;ESP;;Round of 32;62 64;Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
JOFRE;Inigo;UAE;ARROYO;Alejandro;ESP;;Round of 32;64 61;Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
ZAPATA;Teodoro;ESP;JIMENEZ CASAS;Jose;ESP;;Round of 32;64 61;Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
TELLO;Juan;ARG;DI NENNO;Martin;ARG;6;Round of 32;63 16 63;Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
CEPERO;Alvaro;ESP;TORRE;Eduardo Agustin;ARG;;Round of 32;63 16 63;Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
ALONSO;Eduardo;ESP;BAUTISTA;Jairo;ESP;8;Round of 32;62 64;Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
RUBIO;Gonzalo;ESP;RUIZ;Javier;ESP;;Round of 32;62 64;Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
CHOZAS;Alex;ARG;GUTIERREZ;Carlos Daniel;ARG;;Round of 32;64 46 63;Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
CRUZ BELLUATI;Juan;ARG;LIJO;Pablo;ESP;;Round of 32;64 46 63;Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
LEAL;Javier;ESP;GUERRERO;Francisco;ESP;;Round of 32;63 64;Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
RUIZ;Alejandro;ESP;SANCHEZ;Maximiliano;ARG;;Round of 32;63 64;Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
GALAN;Alejandro;ESP;CHINGOTTO;Federico;ARG;2;Round of 32;63 63;Victoire;2025-05-21;ASUNCION P2;Asuncion;262250;22
ABUD;Martin;PAR;GONZALEZ SAN MARTIN;Mariano Agustin;PAR;;Round of 32;63 63;Defaite;2025-05-21;ASUNCION P2;Asuncion;262250;0
