Joueur1_Nom;Joueur1_Prenom;Joueur1_Nationalite;Joueur2_Nom;Joueur2_Prenom;Joueur2_Nationalite;Seed;Round;Score;Resultat;Date_Tournoi;Nom_Tournoi;Lieu_Tournoi;Prize_Money;Points
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;1;Final;62 63;Victoire;2025-03-16;CANCÚN P2;Cancun;252250;600
AGUIRRE;Leonel Daniel;ARG;ALFONSO;Gonzalo Gabriel;ARG;3;Final;62 63;Defaite;2025-03-16;CANCÚN P2;Cancun;252250;360
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;1;Semifinals;61 62;Victoire;2025-03-15;CANCÚN P2;Cancun;252250;180
MORAGUES MOLTÒ;Nacho;ESP;SINTES VILLALONGA;Marc;ESP;;Semifinals;61 62;Defaite;2025-03-15;CANCÚN P2;Cancun;252250;90
AGUIRRE;Leonel Daniel;ARG;ALFONSO;Gonzalo Gabriel;ARG;3;Semifinals;61 64;Victoire;2025-03-15;CANCÚN P2;Cancun;252250;180
VASQUEZ;Simon;SWE;AXELSSON;Adam;SWE;6;Semifinals;61 64;Defaite;2025-03-15;CANCÚN P2;Cancun;252250;90
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;1;Quarterfinals;62 64;Victoire;2025-03-14;CANCÚN P2;Cancun;252250;90
GEENS;Clement;BEL;JEREZ CARNERO;Alejandro;ESP;8;Quarterfinals;62 64;Defaite;2025-03-14;CANCÚN P2;Cancun;252250;45
MORAGUES MOLTÒ;Nacho;ESP;SINTES VILLALONGA;Marc;ESP;;Quarterfinals;46 62 63;Victoire;2025-03-14;CANCÚN P2;Cancun;252250;90
NUNES;Gustavo;POR;SOLBES;Miguel Angel;ESP;4;Quarterfinals;46 62 63;Defaite;2025-03-14;CANCÚN P2;Cancun;252250;45
AGUIRRE;Leonel Daniel;ARG;ALFONSO;Gonzalo Gabriel;ARG;3;Quarterfinals;76(4) 62;Victoire;2025-03-14;CANCÚN P2;Cancun;252250;90
ROMERA BARCELO;Jaume;ESP;CREMONA;Simone;ITA;5;Quarterfinals;76(4) 62;Defaite;2025-03-14;CANCÚN P2;Cancun;252250;45
VASQUEZ;Simon;SWE;AXELSSON;Adam;SWE;6;Quarterfinals;76(4) 63;Victoire;2025-03-14;CANCÚN P2;Cancun;252250;90
CABEZA TERES;Francisco;ESP;GARCIA GARCIA;Diego;ESP;2;Quarterfinals;76(4) 63;Defaite;2025-03-14;CANCÚN P2;Cancun;252250;45
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;1;Round of 16;61 60;Victoire;2025-03-13;CANCÚN P2;Cancun;252250;45
HOSSAM;Youssef;EGY;LACAMOIRE;Julian;ARG;;Round of 16;61 60;Defaite;2025-03-13;CANCÚN P2;Cancun;252250;22
GEENS;Clement;BEL;JEREZ CARNERO;Alejandro;ESP;8;Round of 16;63 62;Victoire;2025-03-13;CANCÚN P2;Cancun;252250;45
GARCIA JIMENEZ;Alberto;ESP;MEDINA MURPHY;Christian;GBR;7;Round of 16;63 62;Defaite;2025-03-13;CANCÚN P2;Cancun;252250;22
MORAGUES MOLTÒ;Nacho;ESP;SINTES VILLALONGA;Marc;ESP;;Round of 16;64 76(8);Victoire;2025-03-13;CANCÚN P2;Cancun;252250;45
ARAGON HERRERA;Manuel;ESP;DEHNIKE;Facundo;PAR;;Round of 16;64 76(8);Defaite;2025-03-13;CANCÚN P2;Cancun;252250;22
NUNES;Gustavo;POR;SOLBES;Miguel Angel;ESP;4;Round of 16;64 63;Victoire;2025-03-13;CANCÚN P2;Cancun;252250;45
AGUIRRE;Leonel Daniel;ARG;ALFONSO;Gonzalo Gabriel;ARG;3;Round of 16;75 67(3) 63;Victoire;2025-03-13;CANCÚN P2;Cancun;252250;45
CASTAÑO SALGUERO;Manuel;ESP;SUESCUN;Nicolas;ITA;;Round of 16;75 67(3) 63;Defaite;2025-03-13;CANCÚN P2;Cancun;252250;22
ROMERA BARCELO;Jaume;ESP;CREMONA;Simone;ITA;5;Round of 16;75 67(5) 64;Victoire;2025-03-13;CANCÚN P2;Cancun;252250;45
IRIART;Emiliano Martin;ITA;AGUSTIN SALANDRO;Mauro;ITA;;Round of 16;75 67(5) 64;Defaite;2025-03-13;CANCÚN P2;Cancun;252250;22
VASQUEZ;Simon;SWE;AXELSSON;Adam;SWE;6;Round of 16;62 63;Victoire;2025-03-13;CANCÚN P2;Cancun;252250;45
ARREDONDO GARCIA;Diego;MEX;PABLO PADILLA;Jose;MEX;;Round of 16;62 63;Defaite;2025-03-13;CANCÚN P2;Cancun;252250;22
CABEZA TERES;Francisco;ESP;GARCIA GARCIA;Diego;ESP;2;Round of 16;46 64 61;Victoire;2025-03-13;CANCÚN P2;Cancun;252250;45
FERNANDEZ LANCHA;Andres;ESP;COELLO MANSO;Rodrigo;ESP;;Round of 16;46 64 61;Defaite;2025-03-13;CANCÚN P2;Cancun;252250;22
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;1;Round of 32;64 63;Victoire;2025-03-12;CANCÚN P2;Cancun;252250;22
GAYONE;Manuel;ARG;WILLIAM GUEVARA;Axel;ARG;;Round of 32;64 63;Defaite;2025-03-12;CANCÚN P2;Cancun;252250;0
HOSSAM;Youssef;EGY;LACAMOIRE;Julian;ARG;;Round of 32;63 64;Victoire;2025-03-12;CANCÚN P2;Cancun;252250;22
ARGAÑARAS;Juan Manuel;ARG;MATIAS ALMADA;Oscar;ARG;;Round of 32;63 64;Defaite;2025-03-12;CANCÚN P2;Cancun;252250;0
GEENS;Clement;BEL;JEREZ CARNERO;Alejandro;ESP;8;Round of 32;76(5) 62;Victoire;2025-03-12;CANCÚN P2;Cancun;252250;22
SEURIN;Julien;FRA;RAICHMAN;Philemon;FRA;;Round of 32;76(5) 62;Defaite;2025-03-12;CANCÚN P2;Cancun;252250;0
GARCIA JIMENEZ;Alberto;ESP;MEDINA MURPHY;Christian;GBR;7;Round of 32;16 63 63;Victoire;2025-03-12;CANCÚN P2;Cancun;252250;22
