nome;country;points;position;move;page_no
Arturo Coello;ESP;19800;1;0;1
Agustin Tapia;ARG;19800;1;0;1
Alejandro Galan;ESP;17320;3;0;1
Federico Chingotto;ARG;17320;3;0;1
Franco Stupaczuk;ARG;7905;5;0;1
Juan Lebron;ESP;7845;6;0;1
Jorge Nieto;ESP;6322;7;0;1
Miguel Yanguas;ESP;6322;7;0;1
Francisco Navarro;ESP;6115;9;0;1
Leandro Augsburger;ARG;5155;10;0;1
Jon Sanz;ESP;5125;11;0;1
Martin Di Nenno;ARG;5110;12;0;1
Lucas Bergamini;BRA;4550;13;0;1
Francisco Guerrero;ESP;4410;14;0;1
Jeronimo Gonzalez;ESP;4350;15;0;1
Javier Leal;ESP;3665;16;0;1
Juan Tello;ARG;3330;17;0;1
Eduardo Alonso;ESP;2955;18;0;1
Leonel Daniel Aguirre;ARG;2870;19;0;1
Gonzalo Gabriel Alfonso;ARG;2760;20;0;1
Alejandro Ruiz;ESP;2570;21;0;1
Javier Garrido;ESP;2528;22;0;1
Javier Garcia;ESP;2500;23;0;1
Javier Barahona;ESP;2475;24;0;1
Pablo Cardona;ESP;2400;25;0;1
Alejandro Arroyo;ESP;2354;26;0;1
Juanlu Esbri;ESP;2292;27;0;1
Lucas Campagnolo;BRA;2280;28;0;1
Alex Chozas;ARG;2252;29;0;1
Jairo Bautista;ESP;2201;30;0;1
Carlos Daniel Gutierrez;ARG;2148;31;0;1
Inigo Jofre;UAE;1941;32;0;1
Jose Antonio Diestro;ESP;1935;33;0;1
Victor Ruiz;ESP;1794;34;0;1
David Gala Sanchez;ESP;1736;35;0;1
Jose Jimenez Casas;ESP;1591;36;0;1
Pablo Garcia Rodrigo;ESP;1580;37;0;2
Javier Ruiz;ESP;1518;38;0;2
Francisco Cabeza Teres;ESP;1507;39;0;2
Pol Hernandez Alvarez;ESP;1506;40;0;2
Guillermo Collado Losada;ESP;1463;41;0;2
Gonzalo Rubio;ESP;1461;42;0;2
Maximiliano Sanchez Blasco;ARG;1449;43;0;2
Valentino Gabriel Libaak;ARG;1447;44;0;2
Francisco Manuel Gil;ESP;1398;45;0;2
Pablo Lijo;ESP;1390;46;1;2
Diego Garcia Garcia;ESP;1379;47;-1;2
Nuno Deus;POR;1367;48;0;2
Miguel Deus;POR;1367;48;0;2
