Joueur1_Nom;Joueur1_Prenom;Joueur1_Nationalite;Joueur2_Nom;Joueur2_Prenom;Joueur2_Nationalite;Seed;Round;Score;Resultat;Date_Tournoi;Nom_Tournoi;Lieu_Tournoi;Prize_Money;Points
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Final;64 76(3);Victoire;2025-11-16;DUBAI P1;Dubai;474500;1000
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Final;64 76(3);Defaite;2025-11-16;DUBAI P1;Dubai;474500;600
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Semifinals;61 62;Victoire;2025-11-15;DUBAI P1;Dubai;474500;360
GARRIDO;Javier;ESP;CAMPAGNOLO;Lucas;BRA;13;Semifinals;61 62;Defaite;2025-11-15;DUBAI P1;Dubai;474500;180
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Semifinals;61 76(3);Victoire;2025-11-15;DUBAI P1;Dubai;474500;360
LEBRON;Juan;ESP;STUPACZUK;Franco;ARG;3;Semifinals;61 76(3);Defaite;2025-11-15;DUBAI P1;Dubai;474500;180
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Quarterfinals;75 63;Victoire;2025-11-14;DUBAI P1;Dubai;474500;180
AGUIRRE;Leonel Daniel;ARG;CHOZAS;Alex;ARG;16;Quarterfinals;75 63;Defaite;2025-11-14;DUBAI P1;Dubai;474500;90
GARRIDO;Javier;ESP;CAMPAGNOLO;Lucas;BRA;13;Quarterfinals;64 67(2) 64;Victoire;2025-11-14;DUBAI P1;Dubai;474500;180
NIETO RUIZ;Jorge;ESP;YANGUAS;Miguel;ESP;4;Quarterfinals;64 67(2) 64;Defaite;2025-11-14;DUBAI P1;Dubai;474500;90
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Quarterfinals;76(5) 64;Victoire;2025-11-14;DUBAI P1;Dubai;474500;180
COLLADO LOSADA;Guillermo;ESP;HERNANDEZ ALVAREZ;Pol;ESP;;Quarterfinals;76(5) 64;Defaite;2025-11-14;DUBAI P1;Dubai;474500;90
LEBRON;Juan;ESP;STUPACZUK;Franco;ARG;3;Quarterfinals;46 63 76(3);Victoire;2025-11-14;DUBAI P1;Dubai;474500;180
ALONSO;Eduardo;ESP;TELLO;Juan;ARG;9;Quarterfinals;46 63 76(3);Defaite;2025-11-14;DUBAI P1;Dubai;474500;90
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Round of 16;61 61;Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
ICARDO;Sergio;UAE;JURADO SOSA;Francisco;UAE;;Round of 16;61 61;Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
AGUIRRE;Leonel Daniel;ARG;CHOZAS;Alex;ARG;16;Round of 16;64 61;Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
VALENZUELA;Ramiro Jesus;ARG;MOURIÑO;Federico;ARG;;Round of 16;64 61;Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
JOFRE;Inigo;UAE;ARROYO;Alejandro;ESP;12;Round of 16;64 62;Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
GUTIERREZ;Agustin;ARG;VALDES;Javier;CHI;;Round of 16;64 62;Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
LEAL;Javier;ESP;BERGAMINI;Lucas;BRA;7;Round of 16;63 63;Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
ORTEGA;Mario;ESP;HUETE HERNANDEZ;Mario;ESP;;Round of 16;63 63;Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
GONZALEZ;Jeronimo;ESP;GUERRERO;Francisco;ESP;8;Round of 16;61 61;Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
MELENDEZ AMAYA;Pedro;ESP;MELENDEZ AMAYA;Álvaro;ESP;;Round of 16;61 61;Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
FERNANDEZ LANCHA;Andres;ESP;SAGER;Ignacio;ESP;;Round of 16;76(6) 64;Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
GUTIERREZ;Carlos Daniel;ARG;ALFONSO;Gonzalo Gabriel;ARG;14;Round of 16;76(6) 64;Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
GARRIDO;Javier;ESP;CAMPAGNOLO;Lucas;BRA;13;Round of 16;64 64;Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
ARCE SIMO;Maximiliano;ARG;LIJO;Pablo;ESP;;Round of 16;64 64;Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
NIETO RUIZ;Jorge;ESP;YANGUAS;Miguel;ESP;4;Round of 16;75 64;Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
GIL MORALES;Francisco Manuel;ESP;SANCHEZ AGUERO;Maximiliano;ARG;;Round of 16;75 64;Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
LEBRON;Juan;ESP;STUPACZUK;Franco;ARG;3;Round of 16;61 61;Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
ABBATE;Flavio;ITA;CASTAÑO SALGUERO;Manuel;ESP;;Round of 16;61 61;Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
LIBAAK;Valentino Gabriel;ARG;BAUTISTA;Jairo;ESP;15;Round of 16;64 61;Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
MONTIEL CARUSO;Alvaro;ITA;BELLUATI;Juan Cruz;ARG;;Round of 16;64 61;Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
RUIZ GRANADOS;Alejandro;ESP;ESBRI;Juanlu;ESP;11;Round of 16;76(2) 62;Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
GARCIA RODRIGO;Pablo;ESP;GALA;David;ESP;;Round of 16;76(2) 62;Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
DI NENNO;Martin;ARG;ROMAN AUGSBURGUER;Leandro;ARG;6;Round of 16;76(4) 64;Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
GOENAGA;Enrique;UAE;HERNANDEZ QUESADA;Luis;ESP;;Round of 16;76(4) 64;Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
SANZ;Jon;ESP;NAVARRO;Francisco;ESP;5;Round of 16;76(5) 76(2);Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
JENSEN SIRVENT;Enzo;ITA;SANCHEZ CHAMERO;Emilio;ESP;;Round of 16;76(5) 76(2);Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
ALONSO;Eduardo;ESP;TELLO;Juan;ARG;9;Round of 16;63 36 63;Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
RUBIO;Gonzalo;ESP;RUIZ;Javier;ESP;;Round of 16;63 36 63;Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
COLLADO LOSADA;Guillermo;ESP;HERNANDEZ ALVAREZ;Pol;ESP;;Round of 16;61 61;Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
BARAHONA;Javier;ESP;GARCIA;Javier;ESP;10;Round of 16;61 61;Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Round of 16;57 64 61;Victoire;2025-11-13;DUBAI P1;Dubai;474500;90
CAPRA;Luciano;ARG;GOÑI LACABE;Aimar;ESP;;Round of 16;57 64 61;Defaite;2025-11-13;DUBAI P1;Dubai;474500;45
ICARDO;Sergio;UAE;JURADO SOSA;Francisco;UAE;;Round of 32;76(6) 64;Victoire;2025-11-12;DUBAI P1;Dubai;474500;45
QUILEZ;Marc;ESP;SANS;Anton;ESP;;Round of 32;76(6) 64;Defaite;2025-11-12;DUBAI P1;Dubai;474500;22
VALENZUELA;Ramiro Jesus;ARG;MOURIÑO;Federico;ARG;;Round of 32;76(5) 63;Victoire;2025-11-12;DUBAI P1;Dubai;474500;45
DIESTRO;Jose Antonio;ESP;RUIZ;Victor;ESP;;Round of 32;76(5) 63;Defaite;2025-11-12;DUBAI P1;Dubai;474500;22
ORTEGA;Mario;ESP;HUETE HERNANDEZ;Mario;ESP;;Round of 32;64 64;Victoire;2025-11-12;DUBAI P1;Dubai;474500;45
MARTINEZ;Javier;ESP;DOMINGUEZ;Facundo;ITA;;Round of 32;64 64;Defaite;2025-11-12;DUBAI P1;Dubai;474500;22
GUTIERREZ;Agustin;ARG;VALDES;Javier;CHI;;Round of 32;61 60;Victoire;2025-11-12;DUBAI P1;Dubai;474500;45
AL JANAHI;Fares;UAE;AL JANAHI;Majed;UAE;;Round of 32;61 60;Defaite;2025-11-12;DUBAI P1;Dubai;474500;22
MELENDEZ AMAYA;Pedro;ESP;MELENDEZ AMAYA;Álvaro;ESP;;Round of 32;46 63 64;Victoire;2025-11-12;DUBAI P1;Dubai;474500;45
PERINO;Denis Tomas;ITA;PIOTTO ALBORNOZ;Ignacio;ARG;;Round of 32;46 63 64;Defaite;2025-11-12;DUBAI P1;Dubai;474500;22
FERNANDEZ LANCHA;Andres;ESP;SAGER;Ignacio;ESP;;Round of 32;76(2) 75;Victoire;2025-11-12;DUBAI P1;Dubai;474500;45
LACAMOIRE;Julian;ARG;RONCO LOPEZ;Adrian;ESP;;Round of 32;76(2) 75;Defaite;2025-11-12;DUBAI P1;Dubai;474500;22
ARCE SIMO;Maximiliano;ARG;LIJO;Pablo;ESP;;Round of 32;64 62;Victoire;2025-11-12;DUBAI P1;Dubai;474500;45
INSA SOTILLO;Ferran;ESP;ROGLAN PONS;Albert;ESP;;Round of 32;64 62;Defaite;2025-11-12;DUBAI P1;Dubai;474500;22
