Joueur1_Nom;Joueur1_Prenom;Joueur1_Nationalite;Joueur2_Nom;Joueur2_Prenom;Joueur2_Nationalite;Seed;Round;Score;Resultat;Date_Tournoi;Nom_Tournoi;Lieu_Tournoi;Prize_Money;Points
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Final;26 63 60;Victoire;2025-10-12;MILANO P1;Milano;474500;1000
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Final;26 63 60;Defaite;2025-10-12;MILANO P1;Milano;474500;600
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Semifinals;76(4) 64;Victoire;2025-10-11;MILANO P1;Milano;474500;360
DI NENNO;Martin;ARG;ROMAN AUGSBURGUER;Leandro;ARG;6;Semifinals;76(4) 64;Defaite;2025-10-11;MILANO P1;Milano;474500;180
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Semifinals;64 63;Victoire;2025-10-11;MILANO P1;Milano;474500;360
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Semifinals;64 63;Defaite;2025-10-11;MILANO P1;Milano;474500;180
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Quarterfinals;62 64;Victoire;2025-10-10;MILANO P1;Milano;474500;180
ALONSO;Eduardo;ESP;TELLO;Juan;ARG;9;Quarterfinals;62 64;Defaite;2025-10-10;MILANO P1;Milano;474500;90
DI NENNO;Martin;ARG;ROMAN AUGSBURGUER;Leandro;ARG;6;Quarterfinals;63 63;Victoire;2025-10-10;MILANO P1;Milano;474500;180
GARCIA;Javier;ESP;BARAHONA;Javier;ESP;11;Quarterfinals;63 63;Defaite;2025-10-10;MILANO P1;Milano;474500;90
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Quarterfinals;63 62;Victoire;2025-10-10;MILANO P1;Milano;474500;180
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Quarterfinals;63 75;Defaite;2025-10-10;MILANO P1;Milano;474500;90
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Quarterfinals;63 75;Victoire;2025-10-10;MILANO P1;Milano;474500;180
CAMPAGNOLO;Lucas;BRA;GARRIDO;Javier;ESP;12;Quarterfinals;63 75;Defaite;2025-10-10;MILANO P1;Milano;474500;90
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Round of 16;62 62;Victoire;2025-10-09;MILANO P1;Milano;474500;90
GEENS;Clement;BEL;JEREZ CARNERO;Alejandro;ESP;;Round of 16;62 62;Defaite;2025-10-09;MILANO P1;Milano;474500;45
ALONSO;Eduardo;ESP;TELLO;Juan;ARG;9;Round of 16;64 63;Victoire;2025-10-09;MILANO P1;Milano;474500;90
SANCHEZ AGUERO;Maximiliano;ARG;GIL MORALES;Francisco Manuel;ESP;;Round of 16;64 63;Defaite;2025-10-09;MILANO P1;Milano;474500;45
ARCE SIMO;Maximiliano;ARG;LIJO;Pablo;ESP;;Round of 16;64 62;Victoire;2025-10-09;MILANO P1;Milano;474500;90
DIESTRO;Jose Antonio;ESP;RUIZ;Victor;ESP;17;Round of 16;64 62;Defaite;2025-10-09;MILANO P1;Milano;474500;45
DI NENNO;Martin;ARG;ROMAN AUGSBURGUER;Leandro;ARG;6;Round of 16;76(3) 75;Victoire;2025-10-09;MILANO P1;Milano;474500;90
DE PASCUAL;Juan Ignacio;ARG;LAMPERTI;Miguel;ARG;;Round of 16;76(3) 75;Defaite;2025-10-09;MILANO P1;Milano;474500;45
GARCIA;Javier;ESP;BARAHONA;Javier;ESP;11;Round of 16;63 75;Victoire;2025-10-09;MILANO P1;Milano;474500;90
HERNANDEZ ALVAREZ;Pol;ESP;COLLADO LOSADA;Guillermo;ESP;;Round of 16;63 75;Defaite;2025-10-09;MILANO P1;Milano;474500;45
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Round of 16;64 61;Victoire;2025-10-09;MILANO P1;Milano;474500;90
RUIZ GRANADOS;Alejandro;ESP;ESBRI;Juanlu;ESP;15;Round of 16;64 61;Defaite;2025-10-09;MILANO P1;Milano;474500;45
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Round of 16;63 60;Victoire;2025-10-09;MILANO P1;Milano;474500;90
GALA;David;ESP;CHOZAS;Alex;ARG;;Round of 16;63 60;Defaite;2025-10-09;MILANO P1;Milano;474500;45
