title;handle;vendor;product_type;tags;created_at;price;sku;image;weight;shape;foam;collection;game_level;frame;surface;professional_player;color;racket_type;balance;gender;racket_cover
Raquette de padel Babolat Air Viper 2025;raquette-de-padel-babolat-air-viper-2025;Babolat;Raquettes;tout;2024-12-18T16:42:49+01:00;269.9;8732;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-babolat-air-viper-2025-face.png?v=1753869327;poids;forme;mousse;2025;expert;carbone;sand;pro;bleu;;;;
Raquette de padel Head Vibe Vert 2026;raquette-de-padel-head-vibe-vert-2026;Head;Raquettes;fait, tout;2026-01-08T10:39:30+01:00;89.9;12204;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Head-Vibe-Vert-2026-Face.png?v=1767869360;;forme;foam;;;carbone;;pro;;;;;
Raquette de padel Starvie Nyra 2026;raquette-de-padel-starvie-nyra-2026;Starvie;Raquettes;fait, tout;2026-01-02T10:56:00+01:00;114.9;12082;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Starvie-Nyra-2026-Face.png?v=1767348872;poids;forme;mousse;;;carbone;;pro;;;;;
Raquette de padel Starvie Arkos 2026;raquette-de-padel-starvie-arkos-2026;Starvie;Raquettes;fait, tout;2026-01-02T10:02:03+01:00;114.9;12081;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Starvie-Arkos-2026-Face.png?v=1767347690;;forme;mousse;;;carbone;;pro;bleu;;;;
Raquette de padel Starvie Polaris 2026;raquette-de-padel-starvie-polaris-2026;Starvie;Raquettes;fait, tout;2025-12-31T17:14:32+01:00;156.9;12080;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-starvie-polaris-2026-face.png?v=1767350418;;forme;mousse;;;carbone;;pro;;polyvalente;;;
Raquette de padel Starvie Kenta+ 2026;raquette-de-padel-starvie-kenta-plus-2026;Starvie;Raquettes;fait, tout;2025-12-31T15:44:31+01:00;237.9;12079;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-starvie-kenta-plus-2026-face.png?v=1767194022;;;mousse;;;carbone;;pro;;;;;
Raquette de padel Starvie Drax+ 2026;raquette-de-padel-starvie-drax-plus-2026;Starvie;Raquettes;fait, tout;2025-12-31T15:25:37+01:00;242.9;12078;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-starvie-drax-plus-2026-face.png?v=1768298970;;forme;mousse;;;carbone;;pro;;polyvalente;balance;;
Raquette de padel Starvie Triton Balance + 2026;raquette-de-padel-starvie-triton-balance-plus-2026;Starvie;Raquettes;fait, tout;2025-12-31T15:04:26+01:00;264.9;12076;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-starvie-triton-balance-plus-2026-face.png?v=1768298737;poids;forme;mousse;;;carbone;;pro;;polyvalente;balance;;
Raquette de padel Starvie Triton Power+ 2026;raquette-de-padel-starvie-triton-power-plus-2026;Starvie;Raquettes;fait, tout;2025-12-31T12:19:55+01:00;265.9;12074;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-starvie-triton-power-plus-2026-face.png?v=1768298428;;forme;mousse;;;carbone;;pro;;;balance;;
Raquette de padel Starvie Raptor+ 2026;raquette-de-padel-starvie-raptor-plus-2026;Starvie;Raquettes;fait, tout;2025-12-31T12:10:37+01:00;281.9;12070;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-starvie-raptor-plus-2026-face.png?v=1767186336;poids;forme;mousse;;;carbon;;pro;;polyvalente;balance;;
Raquette de padel Starvie Astrum+ 2026;raquette-de-padel-starvie-astrum-plus-2026;Starvie;Raquettes;fait, tout;2025-12-31T11:33:46+01:00;239.9;12072;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-starvie-astrum-plus-face.png?v=1768298084;;forme;mousse;;;carbone;;pro;;polyvalente;balance;;
Raquette de padel Dunlop Nanomax Pro 2026;raquette-de-padel-dunlop-nanomax-pro-2026;Dunlop;Raquettes;fait, tout;2025-11-06T09:33:57+01:00;114.9;11571;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Dunlop-Nanomax-Pro-2026-Face.png?v=1762421248;;forme;mousse;;;;;pro;;;;;
Raquette de padel Head Bolt Gris 2026;raquette-de-padel-head-bolt-gris-2026;Head;Raquettes;fait, tout;2026-01-07T11:29:47+01:00;89.9;12182;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Head-Bolt-Gris-2026-Face.png?v=1767782694;poids;;foam;;;carbone;;pro;;;;;
Raquette de padel Head Bolt Rouge 2026;raquette-de-padel-head-bolt-rouge-2026;Head;Raquettes;fait, tout;2026-01-07T10:54:07+01:00;89.9;12179;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Head-Bolt-Rouge-2026-Face.png?v=1767781504;;forme;foam;;;carbone;;pro;rouge;;;;
Raquette de padel Starvie Black Titan 2026;raquette-de-padel-starvie-black-titan-2026;Starvie;Raquettes;fait, tout;2025-12-31T10:38:26+01:00;289.9;12067;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-starvie-black-titan-face1.png?v=1768297657;poids;forme;mousse;;;carbone;;pro;;;balance;;
Raquette de padel Dunlop Megamax Silver 2026;raquette-de-padel-dunlop-megamax-silver-2026;Dunlop;Raquettes;fait, tout;2025-11-06T10:28:49+01:00;69.9;11573;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Dunlop-Megamax-Silver-2026-Face.png?v=1762425611;;forme;mousse;;;;;pro;;;;;
Raquette de padel Dunlop Nanomax Lite 2026;raquette-de-padel-dunlop-nanomax-lite-2026;Dunlop;Raquettes;fait, tout;2025-11-06T09:56:30+01:00;94.9;11572;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-dunlop-nanomax-lite-2026-face.png?v=1762421030;poids;forme;mousse;;;;sablée;pro;;polyvalente;;;
Raquette de padel Wilson Bela Elite V2.5;raquette-de-padel-wilson-bela-elite-v2-5;Wilson;Raquettes;tout;2024-03-25T16:39:51+01:00;129.9;7148;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-wilson-bela-elite-v25-face.jpg?v=1711381856;;forme;mousse;;;carbone;;;rouge;;;;
Mini Raquette Bullpadel Neuron 02 Edge Tour Final 26;mini-raquette-bullpadel-neuron-02-edge-tour-final-26;Bullpadel;Accessoire;fait, tout;2025-12-23T16:54:37+01:00;34.9;12003;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Mini-Raquette-Bullpadel-Neuron-02-Edge-Tour-Final-26-Coffret.png?v=1767089592;;;;;;;;;;;;;
Mini Raquette Bullpadel Hack 04 Tour Final 26;mini-raquette-bullpadel-hack-04-tour-final-26;Bullpadel;Accessoire;fait, tout;2025-12-23T16:29:49+01:00;34.9;12002;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Mini-Raquette-Bullpadel-Hack-04-Tour-Final-26-Coffret_66c75b97-f38e-49be-8f10-d9e340f5fc1e.png?v=1767089526;;;;collection;;;;;;;;;
Raquette de padel Royal Padel Whip Light 2026;raquette-de-padel-royal-padel-whip-light-2026;Royal Padel;Raquettes;fait, tout;2025-12-17T10:24:14+01:00;259.9;11944;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Royal-Padel-Whip-light-2026-face.png?v=1765963636;poids;;;;;carbone;;pro;noir;;;;
Mini Raquette Bullpadel Vertex 05 Tour Final 26;mini-raquette-bullpadel-vertex-05-tour-final-26;Bullpadel;Accessoire;fait, tout;2025-12-23T17:09:46+01:00;34.9;12004;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Mini-Raquette-Bullpadel-Vertex-05-Tour-Final-26-Coffret_aecb5de2-6bd7-4c99-9a2e-77d3547814b8.png?v=1767089545;;;;;;;;;;;;;
Raquette de padel Bullpadel Spirit 2026;raquette-de-padel-bullpadel-spirit-2026;Bullpadel;Raquettes;fait, tout;2025-10-16T15:53:16+02:00;69.9;11221;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Bullpadel-Spirit-face_c0aeb132-2eb3-438d-81c3-34275e9ac653.png?v=1760692784;;forme;mousse;;;carbone;;pro;bleu;polyvalente;;;
Pack Siux Electra Pro SE Black 2026;pack-siux-electra-pro-st5-special-edition;Siux;Raquettes;fait, tout;2026-01-07T14:08:01+01:00;368.9;12188;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Pack-Siux-Electra-Pro-ST5-Special-Edition_1.png?v=1767795185;;forme;mousse;;;carbone;sand;pro;rouge;;;;
Raquette de padel Royal Padel 36 Aniversario Poly 2026;raquette-de-padel-royal-padel-36-aniversario-poly-2026;Royal Padel;Raquettes;fait, tout;2025-12-31T09:17:07+01:00;319.9;12065;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Royal-Padel-36-AniversarioPoly-2026-Face.png?v=1767171107;;forme;mousse;2025;;carbone;sablée;pro;noir;;;;
Raquette de padel Royal Padel 36 Aniversario Light 2026;raquette-de-padel-royal-padel-36-aniversario-light-2026;Royal Padel;Raquettes;fait, tout;2025-12-30T16:51:11+01:00;319.9;12064;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-royal-padel-36-aniversario-light-2026-face1.png?v=1767169680;;forme;mousse;2025;;carbone;;pro;;;;;
Raquette de padel Royal Padel Japan Pro Rouge 2026;raquette-de-padel-royal-padel-japan-pro-rouge-2026;Royal Padel;Raquettes;fait, tout;2025-12-30T16:44:31+01:00;319.9;12063;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Royal-Padel-Japan-Pro-Rouge-2026-Face.png?v=1767168332;;forme;mousse;;;carbone;sablée;pro;rouge;;;;
Raquette de padel Royal Padel Whip Extreme 2026;raquette-de-padel-royal-padel-whip-extreme-2026;Royal Padel;Raquettes;fait, tout;2025-12-17T10:36:21+01:00;289.9;11945;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Royal-Padel-Whip-Extreme-2026-Face.png?v=1765966998;;forme;mousse;;;carbone;sablée;pro;;;;;
Raquette de padel Royal Padel Japan Pro Bleu 2026;raquette-de-padel-royal-padel-japan-pro-bleu-2026;Royal Padel;Raquettes;fait, tout;2025-12-17T10:22:51+01:00;319.9;11943;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-royal-padel-japan-pro-bleu-2026-face.png?v=1765965883;poids;forme;mousse;;;carbone;sablée;pro;bleu;;;;
Raquette de padel Royal Padel Whip Poly 2026;raquette-de-padel-royal-padel-whip-poly-2026;Royal Padel;Raquettes;fait, tout;2025-12-17T10:02:07+01:00;259.9;11941;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Royal-Padel-Whip-Poly-2026-face.png?v=1765962302;;;;;;carbone;;pro;rouge;polyvalente;;;
Raquette de padel Royal Padel Efe Extreme 2026;raquette-de-padel-royal-padel-efe-extreme-2026;Royal Padel;Raquettes;fait, tout;2025-12-17T10:01:51+01:00;159.9;11942;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Royal-Padel-Efe-Extreme-2026-Face.png?v=1765963896;;forme;mousse;2025;;carbone;;pro;;;;;
Raquette de padel Bullpadel Hack 04 Junior 2026;raquette-de-padel-bullpadel-hack-04-junior-2026;Bullpadel;Raquettes;fait, tout;2025-12-22T11:29:14+01:00;89.9;11987;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Bullpadel-Hack-04-Junior-2026-Face.png?v=1766398833;poids;forme;mousse;;;carbone;;pro;;;;;
Raquette de padel Sane Potential Professional Edition;raquette-de-padel-sane-potential-professional-edition;Sane;Raquettes;fait, tout;2025-10-30T09:41:02+01:00;229.9;11417;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Sane-Potential-Professional-Edition-Face.png?v=1761817799;;forme;mousse;;;carbone;;pro;;;;;
Raquette de padel Bullpadel Vertex Junior Girl 2026;raquette-de-padel-bullpadel-vertex-junior-girl-2026;Bullpadel;Raquettes;fait, tout;2025-10-14T14:40:57+02:00;89.9;11218;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Bullpadel-Vertex-JR-Girl-Face.png?v=1760453078;poids;forme;mousse;;;carbone;;pro;white;;;;
Raquette de padel Bullpadel Vertex Junior Boy 2026;raquette-de-padel-bullpadel-vertex-junior-boy-2026;Bullpadel;Raquettes;fait, tout;2025-10-14T14:40:54+02:00;89.9;11217;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-bullpadel-vertex-junior-boy-2026-face.png?v=1762162215;poids;forme;mousse;;;carbone;;pro;white;;;;
Raquette de padel Bullpadel Hack 04 Tour Final LTD 2026;raquette-de-padel-bullpadel-hack-04-tf-26-ltd;Bullpadel;Raquettes;fait, tout;2025-10-13T15:27:40+02:00;389.9;11197;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Bullpadel-Hack-04-Tour-Final-LTD-2026-Face-PP.png?v=1767536426;weight;forme;mousse;;;carbone;;pro;rouge;;;;
Pack Wilson Bela Pro 2.5;pack-wilson-bela-pro-2-5;Wilson;Raquettes;fait, tout;2025-12-24T14:48:33+01:00;229.9;12013;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/large-pack-wilson-bela-2.5-sac-raquette.png?v=1767600397;;forme;mousse;;expert;carbone;;pro;rouge;;;;
Raquette de padel Adidas Metalbone Carbon Control 3.4 2025;raquette-de-padel-adidas-metalbone-carbon-control-3-4-2025;Adidas;Raquettes;tout;2024-11-22T12:26:40+01:00;159.9;8579;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-adidas-metalbone-carbon-control-3-4-2025-face.png?v=1732281488;;forme;mousse;2025;;carbone;;;;;;;
Raquette de padel Tecnifibre Wall Master 370;raquette-de-padel-tecnifibre-wall-master-365-2023;Tecnifibre;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-06-09T14:38:18+02:00;99.9;4762;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-tecnifibre-wall-master-2023-370-face.jpg?v=1686319355;poids;forme;;;;carbone;sablée;pro;;;;;
Raquette de padel Bullpadel Elite Woman Tour Final LTD 2026;raquette-de-padel-bullpadel-elite-w-tour-final-ltd-2026;Bullpadel;Raquettes;fait, tout;2025-10-14T11:14:14+02:00;299.9;11202;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Bullpadel-Elite-Woman-Tour-Final-LTD-2026-Face-PP.png?v=1767536399;weight;forme;mousse;;;carbon;;pro;;;;;
Raquette de padel Bullpadel Vertex 05 Tour Final LTD 2026;raquette-de-padel-bullpadel-vertex-05-tf-25-ltd;Bullpadel;Raquettes;fait, tout;2025-10-13T16:46:03+02:00;389.9;11198;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Bullpadel-Vertex-05-Tour-Final-LTD-2026-Face-PP.png?v=1767536418;weight;forme;mousse;2025;;carbone;;pro;;;;;
Raquette de padel Bullpadel Neuron 02 Edge Tour Final LTD 2026;raquette-de-padel-bullpadel-neuron-02-edge-tour-final-ltd-2026;Bullpadel;Raquettes;fait, tout;2025-10-14T10:55:49+02:00;389.9;11201;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Bullpadel-Neuron-02-Edge-Tour-Final-LTD-2026-Face-PP.png?v=1767536406;weight;forme;mousse;2025;;carbone;;pro;;;;;
Raquette de padel Bullpadel Vertex Advance 2026;raquette-de-padel-bullpadel-vertex-advance-2026;Bullpadel;Raquettes;fait, tout;2025-10-14T14:40:27+02:00;139.9;11205;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Bullpadel-Vertex-Advance-2026-Face.png?v=1760450017;poids;forme;mousse;;;carbone;;pro;noir;;;;
Raquette de padel Bullpadel Hack 02 Advance 2026;raquette-de-padel-bullpadel-hack-02-advance-2026;Bullpadel;Raquettes;fait, tout;2025-10-14T14:40:22+02:00;124.9;11204;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Bullpadel-Hack-02-Advance-2026-Face.png?v=1760448166;poids;forme;mousse;;;carbone;;pro;;;;;
Raquette de padel Nox AT10 Pro Cup Hard 2025;raquette-de-padel-nox-at-pro-cup-hard-2025;Nox;Raquettes;tout;2024-09-24T15:42:05+02:00;139.9;7986;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Nox-AT-Pro-Cup-2025-face.png?v=1727186804;;forme;mousse;2025;;carbone;;pro;;;;;
Raquette de padel Osaka Pro Tour LTD Control 2026;raquette-de-padel-osaka-pro-tour-ltd-control-2026;Osaka;Raquettes;fait, tout;2025-07-23T12:30:16+02:00;299.9;10698;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-Osaka-Pro-Tour-LTD-Control-2026-Face.png?v=1753691357;;forme;foam;;;carbone;;pro;noir;;;;
