Joueur1_Nom;Joueur1_Prenom;Joueur1_Nationalite;Joueur2_Nom;Joueur2_Prenom;Joueur2_Nationalite;Seed;Round;Score;Resultat;Date_Tournoi;Nom_Tournoi;Lieu_Tournoi;Prize_Money;Points
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Final;75 62;Victoire;2025-09-14;ALPINE PARIS MAJOR;Paris;1029558;2000
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Final;75 62;Defaite;2025-09-14;ALPINE PARIS MAJOR;Paris;1029558;1200
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Semifinals;75 61;Victoire;2025-09-13;ALPINE PARIS MAJOR;Paris;1029558;720
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Semifinals;75 61;Defaite;2025-09-13;ALPINE PARIS MAJOR;Paris;1029558;360
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Semifinals;60 62;Victoire;2025-09-13;ALPINE PARIS MAJOR;Paris;1029558;720
YANGUAS;Miguel;ESP;NIETO RUIZ;Jorge;ESP;4;Semifinals;60 62;Defaite;2025-09-13;ALPINE PARIS MAJOR;Paris;1029558;360
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Quarterfinals;60 62;Victoire;2025-09-12;ALPINE PARIS MAJOR;Paris;1029558;360
AGUIRRE;Leonel Daniel;ARG;CHOZAS;Alex;ARG;13;Quarterfinals;60 62;Defaite;2025-09-12;ALPINE PARIS MAJOR;Paris;1029558;180
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Quarterfinals;64 61;Victoire;2025-09-12;ALPINE PARIS MAJOR;Paris;1029558;360
GUERRERO;Francisco;ESP;LEAL;Javier;ESP;10;Quarterfinals;64 61;Defaite;2025-09-12;ALPINE PARIS MAJOR;Paris;1029558;180
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Quarterfinals;61 60;Victoire;2025-09-12;ALPINE PARIS MAJOR;Paris;1029558;360
JOFRE;Inigo;UAE;ARROYO;Alejandro;ESP;11;Quarterfinals;61 60;Defaite;2025-09-12;ALPINE PARIS MAJOR;Paris;1029558;180
YANGUAS;Miguel;ESP;NIETO RUIZ;Jorge;ESP;4;Quarterfinals;60 64;Victoire;2025-09-12;ALPINE PARIS MAJOR;Paris;1029558;360
ALONSO;Eduardo;ESP;BAUTISTA;Jairo;ESP;9;Quarterfinals;WO;Defaite;2025-09-12;ALPINE PARIS MAJOR;Paris;1029558;180
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Round of 16;64 64;Victoire;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;180
CAPRA;Luciano;ARG;GOÑI LACABE;Aimar;ESP;;Round of 16;64 64;Defaite;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;90
AGUIRRE;Leonel Daniel;ARG;CHOZAS;Alex;ARG;13;Round of 16;63 67(4) 62;Victoire;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;180
COLLADO LOSADA;Guillermo;ESP;HERNANDEZ ALVAREZ;Pol;ESP;;Round of 16;63 67(4) 62;Defaite;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;90
BARAHONA;Javier;ESP;GARCIA;Javier;ESP;12;Round of 16;63 76(4);Victoire;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;180
PERINO;Denis Tomas;ITA;PIOTTO ALBORNOZ;Ignacio;ARG;;Round of 16;63 76(4);Defaite;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;90
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Round of 16;61 61;Victoire;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;180
GARCIA RODRIGO;Pablo;ESP;GARRIDO;Javier;ESP;16;Round of 16;61 61;Defaite;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;90
GUERRERO;Francisco;ESP;LEAL;Javier;ESP;10;Round of 16;63 63;Victoire;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;180
TELLO;Juan;ARG;CARDONA;Pablo;ESP;8;Round of 16;63 63;Defaite;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;90
GONZALEZ;Jeronimo;ESP;SANZ;Jon;ESP;6;Round of 16;63 61;Victoire;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;180
YANGUAS;Miguel;ESP;NIETO RUIZ;Jorge;ESP;4;Round of 16;64 63;Victoire;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;180
DIESTRO;Jose Antonio;ESP;ESBRI;Juanlu;ESP;14;Round of 16;64 63;Defaite;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;90
GUTIERREZ;Carlos Daniel;ARG;ALFONSO;Gonzalo Gabriel;ARG;;Round of 16;26 63 64;Victoire;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;180
RUIZ;Victor;ESP;RUIZ GRANADOS;Alejandro;ESP;15;Round of 16;26 63 64;Defaite;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;90
DI NENNO;Martin;ARG;ROMAN AUGSBURGUER;Leandro;ARG;7;Round of 16;76(2) 76(7);Victoire;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;180
VILARIÑO GESTOSO;Ignacio;ESP;ORIA;Salvador;ESP;;Round of 16;76(2) 76(7);Defaite;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;90
ALONSO;Eduardo;ESP;BAUTISTA;Jairo;ESP;9;Round of 16;62 63;Victoire;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;180
RUBIO;Gonzalo;ESP;RUIZ;Javier;ESP;;Round of 16;62 63;Defaite;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;90
JOFRE;Inigo;UAE;ARROYO;Alejandro;ESP;11;Round of 16;64 76(4);Victoire;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;180
BERGAMINI;Lucas;BRA;NAVARRO;Francisco;ESP;5;Round of 16;64 76(4);Defaite;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;90
CHINGOTTO;Federico;ARG;GALAN;Alejandro;ESP;2;Round of 16;63 75;Victoire;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;180
DEUS;Miguel;POR;DEUS;Nuno;POR;;Round of 16;63 75;Defaite;2025-09-11;ALPINE PARIS MAJOR;Paris;1029558;90
COELLO;Arturo;ESP;TAPIA;Agustin;ARG;1;Round of 32;62 76(7);Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
VALDES;Javier;CHI;GUTIERREZ;Agustin;ARG;;Round of 32;62 76(7);Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
COLLADO LOSADA;Guillermo;ESP;HERNANDEZ ALVAREZ;Pol;ESP;;Round of 32;61 64;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
ARCE SIMO;Maximiliano;ARG;LIJO;Pablo;ESP;;Round of 32;61 64;Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
AGUIRRE;Leonel Daniel;ARG;CHOZAS;Alex;ARG;13;Round of 32;36 76(6) 64;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
SANCHEZ;Maximiliano;ARG;GIL;Francisco Manuel;ESP;;Round of 32;36 76(6) 64;Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
BARAHONA;Javier;ESP;GARCIA;Javier;ESP;12;Round of 32;61 36 76(2);Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
JIMENEZ CASAS;Jose;ESP;SANCHEZ BLASCO;Maximiliano;ARG;;Round of 32;61 36 76(2);Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
PERINO;Denis Tomas;ITA;PIOTTO ALBORNOZ;Ignacio;ARG;;Round of 32;63 57 63;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
RODRIGUEZ MARTINEZ;Alonso;ESP;RUBINI;Juan Ignacio;ARG;;Round of 32;63 57 63;Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
GONZALEZ;Jeronimo;ESP;SANZ;Jon;ESP;6;Round of 32;63 61;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
TELLO;Juan;ARG;CARDONA;Pablo;ESP;8;Round of 32;64 63;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
RICO;Javier;ESP;SAGER;Ignacio;ESP;;Round of 32;64 63;Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
ZAPATA;Teodoro;ESP;CABEZA TERES;Francisco;ESP;;Round of 32;64 63;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
DEL CASTILLO;Mario;ESP;LAMPERTI;Miguel;ARG;;Round of 32;64 63;Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
GUERRERO;Francisco;ESP;LEAL;Javier;ESP;10;Round of 32;64 76(2);Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
ORTEGA;Mario;ESP;HUETE HERNANDEZ;Mario;ESP;;Round of 32;64 76(2);Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
GARCIA RODRIGO;Pablo;ESP;GARRIDO;Javier;ESP;16;Round of 32;57 63 64;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
GOENAGA;Enrique;ESP;HERNANDEZ QUESADA;Luis;ESP;;Round of 32;57 63 64;Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
ABBATE;Flavio;ITA;CASTAÑO SALGUERO;Manuel;ESP;;Round of 32;63 76(5);Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
PATINIOTIS;Aris;ITA;MOYA;Jesus;ESP;;Round of 32;63 76(5);Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
STUPACZUK;Franco;ARG;LEBRON;Juan;ESP;3;Round of 32;64 76(4);Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
SANTIGOSA SASTRE;Daniel;ESP;SANCHEZ CHAMERO;Emilio;ESP;;Round of 32;64 76(4);Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
YANGUAS;Miguel;ESP;NIETO RUIZ;Jorge;ESP;4;Round of 32;64 63;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
FERNANDEZ LANCHA;Andres;ESP;CEPERO;Alvaro;ESP;;Round of 32;64 63;Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
DIESTRO;Jose Antonio;ESP;ESBRI;Juanlu;ESP;14;Round of 32;76(6) 61;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
SANS;Anton;ESP;QUILEZ;Marc;ESP;;Round of 32;76(6) 61;Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
RUIZ;Victor;ESP;RUIZ GRANADOS;Alejandro;ESP;15;Round of 32;63 64;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
MARQUES BERDONCE;Adrian;ESP;CASSETTA;Marco;ITA;;Round of 32;63 64;Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
RUBIO;Gonzalo;ESP;RUIZ;Javier;ESP;;Round of 32;63 64;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
BLANQUE;Bastien;FRA;BERGERON;Johan;FRA;;Round of 32;63 64;Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
GUTIERREZ;Carlos Daniel;ARG;ALFONSO;Gonzalo Gabriel;ARG;;Round of 32;61 64;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
DI NENNO;Martin;ARG;ROMAN AUGSBURGUER;Leandro;ARG;7;Round of 32;62 64;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
BERGAMINI;Lucas;BRA;NAVARRO;Francisco;ESP;5;Round of 32;76(2) 76(7);Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
VILARIÑO GESTOSO;Ignacio;ESP;ORIA;Salvador;ESP;;Round of 32;62 64;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
BORONAD;Yoan;FRA;FONTENY;Timeo;FRA;;Round of 32;62 64;Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
GARCIA GARCIA;Diego;ESP;GONZALEZ;Jose Luis;ESP;;Round of 32;64 64;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
MONTIEL CARUSO;Alvaro;ITA;CRUZ BELLUATI;Juan;ARG;;Round of 32;64 64;Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
ALONSO;Eduardo;ESP;BAUTISTA;Jairo;ESP;9;Round of 32;62 64;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
JOFRE;Inigo;UAE;ARROYO;Alejandro;ESP;11;Round of 32;61 64;Victoire;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;90
FORCIN;Maxime;FRA;TISON;Benjamin;FRA;;Round of 32;61 64;Defaite;2025-09-10;ALPINE PARIS MAJOR;Paris;1029558;35
