joueur1_nom,joueur1_prenom,joueur1_nationalite,joueur2_nom,joueur2_prenom,joueur2_nationalite,seed,round,score,resultat,date_tournoi,nom_tournoi,lieu_tournoi,prize_money,points
Galan,Alejandro,ESP,Lebron,Juan,ESP,1,Final,6-3 6-4,WIN,2025-04-19,OOREDOO QATAR MAJOR,Doha Qatar,0,2000
Coello,Arturo,ESP,Tapia,Agustin,ARG,2,Final,3-6 4-6,LOSS,2025-04-19,OOREDOO QATAR MAJOR,Doha Qatar,0,1200
Galan,Alejandro,ESP,Lebron,Juan,ESP,1,Semifinal,6-4 6-4,WIN,2025-04-18,OOREDOO QATAR MAJOR,Doha Qatar,0,1200
DiNenno,Martin,ARG,Stupaczuk,Franco,ARG,3,Semifinal,4-6 4-6,LOSS,2025-04-18,OOREDOO QATAR MAJOR,Doha Qatar,0,720
Coello,Arturo,ESP,Tapia,Agustin,ARG,2,Semifinal,6-2 6-3,WIN,2025-04-18,OOREDOO QATAR MAJOR,Doha Qatar,0,1200
Paquito,Navarro,ESP,Chingotto,Federico,ARG,4,Semifinal,2-6 3-6,LOSS,2025-04-18,OOREDOO QATAR MAJOR,Doha Qatar,0,720
Galan,Alejandro,ESP,Lebron,Juan,ESP,1,Quarterfinal,6-3 6-2,WIN,2025-04-17,OOREDOO QATAR MAJOR,Doha Qatar,0,720
Coello,Arturo,ESP,Tapia,Agustin,ARG,2,Quarterfinal,6-4 6-4,WIN,2025-04-17,OOREDOO QATAR MAJOR,Doha Qatar,0,720
Paquito,Navarro,ESP,Chingotto,Federico,ARG,4,Quarterfinal,6-3 7-5,WIN,2025-04-17,OOREDOO QATAR MAJOR,Doha Qatar,0,720
DiNenno,Martin,ARG,Stupaczuk,Franco,ARG,3,Quarterfinal,6-4 6-4,WIN,2025-04-17,OOREDOO QATAR MAJOR,Doha Qatar,0,720
